idMarca,version,marca
1975,"VALIANT DUSTER 6CIL","CLASICO ANTIGUO AUTO"
1976,"AMERICAN VAG AUT 4PTAS","CLASICO ANTIGUO AUTO"
1976,"BRASILIA 2 PTAS","CLASICO ANTIGUO AUTO"
1976,"CHEVY NOVA","CLASICO ANTIGUO AUTO"
1976,"COMBI VAGONETA 4CIL","CLASICO ANTIGUO AUTO"
1976,"DART","CLASICO ANTIGUO AUTO"
1976,"JEEP 6CIL","CLASICO ANTIGUO AUTO"
1976,"MAVERICK V8","CLASICO ANTIGUO AUTO"
1976,"RENAULT","CLASICO ANTIGUO AUTO"
1976,"SD CLASICO","VOLKSWAGEN"
1976,"SD CLASICO","CLASICO ANTIGUO AUTO"
1976,"VALIANT DUSTER 6CIL","CLASICO ANTIGUO AUTO"
1977,"BRASILIA STD. 2 PTAS. 4 CIL.","CLASICO ANTIGUO AUTO"
1977,"COMBI VAGONETA 4CIL","CLASICO ANTIGUO AUTO"
1977,"DART","CLASICO ANTIGUO AUTO"
1977,"DATSUN 4CIL","CLASICO ANTIGUO AUTO"
1977,"DODGE HARD TOP AUT","CLASICO ANTIGUO AUTO"
1977,"MAVERICK V8","CLASICO ANTIGUO AUTO"
1977,"MUSTANG HARD TOP","CLASICO ANTIGUO AUTO"
1977,"NOVA","CLASICO ANTIGUO AUTO"
1977,"R5 TL 3PTAS","CLASICO ANTIGUO AUTO"
1977,"VALIANT","CLASICO ANTIGUO AUTO"
1977,"VW 113 SD","CLASICO ANTIGUO AUTO"
1977,"VW CABIBE","CLASICO ANTIGUO AUTO"
1977,"VW COMBI","CLASICO ANTIGUO AUTO"
1977,"VW SEDAN 1.6L 4CIL","CLASICO ANTIGUO AUTO"
1978,"CAPRICE","CLASICO ANTIGUO AUTO"
1978,"CARIBE 2PTAS STD","CLASICO ANTIGUO AUTO"
1978,"CARIBE 4PTAS STD","CLASICO ANTIGUO AUTO"
1978,"CHEVY NOVA","CLASICO ANTIGUO AUTO"
1978,"COMBI VAGONETA 4CIL","CLASICO ANTIGUO AUTO"
1978,"DART","CLASICO ANTIGUO AUTO"
1978,"DATSUN 4CIL","CLASICO ANTIGUO AUTO"
1978,"FAIRMONT V8","CLASICO ANTIGUO AUTO"
1978,"FORD HARD TOP","CLASICO ANTIGUO AUTO"
1978,"FORD LTD V8","CLASICO ANTIGUO AUTO"
1978,"MUSTANG V8","CLASICO ANTIGUO AUTO"
1978,"R12 4CIL","CLASICO ANTIGUO AUTO"
1978,"VALIANT","CLASICO ANTIGUO AUTO"
1978,"VW SEDAN 2PTAS","CLASICO ANTIGUO AUTO"
1979,"AMERICAN VANGONETA 6CIL","CLASICO ANTIGUO AUTO"
1979,"BRASILIA STD 4 CIL","CLASICO ANTIGUO AUTO"
1979,"CAPRICE LANDAU 2 PTAS.","CLASICO ANTIGUO AUTO"
1979,"CARIBE STD/AUT 4 CIL.","CLASICO ANTIGUO AUTO"
1979,"CHRYSLER LEBARON","CLASICO ANTIGUO AUTO"
1979,"COMBI VAGONETA STD","CLASICO ANTIGUO AUTO"
1979,"DART AUT 6CIL 4PTAS","CLASICO ANTIGUO AUTO"
1979,"DART COUPE SPORT 2 PTAS. AUT. TELA","CLASICO ANTIGUO AUTO"
1979,"DATSUN SEDAN 4 PTAS. 4 CIL.","CLASICO ANTIGUO AUTO"
1979,"FAIRMONT SD AUT","FORD"
1979,"FORD LTD HT","CLASICO ANTIGUO AUTO"
1979,"GREMLIN 6CIL","CLASICO ANTIGUO AUTO"
1979,"JEEP VAM RAMBLER","CLASICO ANTIGUO AUTO"
1979,"MALIBU","CLASICO ANTIGUO AUTO"
1979,"MUSTANG HARD TOP/FAST BACK AUT. V8","CLASICO ANTIGUO AUTO"
1979,"RAMBLER PACER 2 PTAS","CLASICO ANTIGUO AUTO"
1979,"RENAULT R12 4CIL","CLASICO ANTIGUO AUTO"
1979,"RENAULT R5 4CIL","CLASICO ANTIGUO AUTO"
1979,"TOYOTA CELICA LIFTBACK GT","CLASICO ANTIGUO AUTO"
1979,"VALIANT VOLARE 6CIL","CLASICO ANTIGUO AUTO"
1979,"VW SAFARI","CLASICO ANTIGUO AUTO"
1979,"VW SEDAN 2PTAS","CLASICO ANTIGUO AUTO"
1979,"VW SEDAN 4 CIL","CLASICO ANTIGUO AUTO"
1980,"1600 SD STD","NISSAN"
1980,"1600 VAG STD","NISSAN"
1980,"AMERICAN GFS AUT","VAM RAMBLER"
1980,"AMERICAN RALLY AMX STD","VAM RAMBLER"
1980,"AMERICAN SD AUT","VAM RAMBLER"
1980,"AMERICAN SD STD","VAM RAMBLER"
1980,"AMERICAN VAG STD","VAM RAMBLER"
1980,"BRASILIA STD 4 CIL","VOLKSWAGEN"
1980,"CAPRICE CLASSIC SD AUT 8 CIL","CHEVROLET"
1980,"CAPRICE LANDAU SD AUT V8","CHEVROLET"
1980,"CAPRICE SEMIEQUIPADO","CHEVROLET"
1980,"CARIBE C STD 4 CIL","VOLKSWAGEN"
1980,"CARIBE DIESEL STD 4 CIL","VOLKSWAGEN"
1980,"CARIBE GL AUT 4 CIL","VOLKSWAGEN"
1980,"CARIBE GL STD 4 CIL","VOLKSWAGEN"
1980,"CARIBE L AUT 4 CIL","VOLKSWAGEN"
1980,"CHEVELLE","CHEVROLET"
1980,"COMBI VAGONETA STD 4 CIL","VOLKSWAGEN"
1980,"CORDOBA AUT V8","CHRYSLER"
1980,"DART SD AUT 6 CIL","CHRYSLER"
1980,"DART SD AUT 8 CIL","CHRYSLER"
1980,"DART SD STD 6 CIL ","CHRYSLER"
1980,"DART VAG 6CIL STD","CHRYSLER"
1980,"DART WAGON AUT","CLASICO ANTIGUO AUTO"
1980,"DATSUN 4CIL","CLASICO ANTIGUO AUTO"
1980,"FAIRMONT ELITE AUT AAC","FORD"
1980,"FAIRMONT SD AUT","FORD"
1980,"FAIRMONT SD STD","FORD"
1980,"FAIRMONT VAG AUT EQ","FORD"
1980,"FAIRMONT VAG STD","FORD"
1980,"GREMLIN STD","VAM RAMBLER"
1980,"GREMLIN X AUT","VAM RAMBLER"
1980,"GREMLIN X STD","VAM RAMBLER"
1980,"JEEP 6CIL","CLASICO ANTIGUO AUTO"
1980,"JEEP CJ7 CAPOTA LONA O METALICA","VAM RAMBLER"
1980,"JEEP RENEGADO","VAM RAMBLER"
1980,"LE BARON SEDAN 8 CIL","CHRYSLER"
1980,"LTD EQ 8 CIL","FORD"
1980,"LTD NORMAL 8 CIL","FORD"
1980,"LTD VAG NORMAL","FORD"
1980,"MALIBU","CHEVROLET"
1980,"MALIBU CLASSIC 6 CIL","CLASICO ANTIGUO AUTO"
1980,"MALIBU CLASSIC 6 CIL","CHEVROLET"
1980,"MALIBU LANDAU AUT AAC","CHEVROLET"
1980,"MUSTANG FAST BACK 4 VEL","FORD"
1980,"MUSTANG FAST BACK AUT 8 CIL","FORD"
1980,"MUSTANG FAST BACK AUT EQ AAC","FORD"
1980,"MUSTANG HT AUT 8 CIL","FORD"
1980,"MUSTANG HT AUT A/AC E/E 8 CIL","FORD"
1980,"MUSTANG HT STD","FORD"
1980,"R-12 CUSTOM 1300 SD","RENAULT"
1980,"R-12 ROUTIER 1300 VAG AUSTERO","RENAULT"
1980,"R-12 ROUTIER TS STD SD 1.6L","RENAULT"
1980,"R-18 1600 SD AUSTERO","RENAULT"
1980,"R-5 MIRAGE TX","RENAULT"
1980,"R12 ROUTIER 1300 SD","RENAULT"
1980,"R5 TL VAG","RENAULT"
1980,"SD CLASICO","VOLKSWAGEN"
1980,"VALIANT VOLARE 6CIL","CLASICO ANTIGUO AUTO"
1980,"VALIANT VOLARE SUPER BEE 8 CIL","CHRYSLER"
1981,"1600 SD STD","NISSAN"
1981,"1600 VAG STD","NISSAN"
1981,"1800 SD STD","NISSAN"
1981,"AMERICAN ECD AUT","VAM RAMBLER"
1981,"AMERICAN GFS AUT","VAM RAMBLER"
1981,"AMERICAN SD AUT","VAM RAMBLER"
1981,"AMERICAN SD STD","VAM RAMBLER"
1981,"AMERICAN VAG AUT","VAM RAMBLER"
1981,"ATLANTIC GL SD AUT 4 CIL","VOLKSWAGEN"
1981,"ATLANTIC GL SD STD 4 CIL","VOLKSWAGEN"
1981,"ATLANTIC SD STD AUSTERO","VOLKSWAGEN"
1981,"BRASILIA STD 4 CIL","VOLKSWAGEN"
1981,"CAPRICE CLASSIC SD AUT 8 CIL","CHEVROLET"
1981,"CAPRICE LANDAU SD AUT V8","CHEVROLET"
1981,"CARIBE C STD 4 CIL","VOLKSWAGEN"
1981,"CARIBE DIESEL STD 4 CIL","VOLKSWAGEN"
1981,"CARIBE GL AUT 4 CIL","VOLKSWAGEN"
1981,"CARIBE GL STD 4 CIL","VOLKSWAGEN"
1981,"CARIBE L AUT 4 CIL","VOLKSWAGEN"
1981,"CHEVELLE","CHEVROLET"
1981,"COMBI VAGONETA STD 4 CIL","VOLKSWAGEN"
1981,"CORDOBA AUT","CLASICO ANTIGUO AUTO"
1981,"DART K MAGNUM AUT","CHRYSLER"
1981,"DART SD AUT 6 CIL","CHRYSLER"
1981,"DART SD AUT 8 CIL","CHRYSLER"
1981,"DART SD STD 6 CIL","CHRYSLER"
1981,"DATSUN 4CIL","CLASICO ANTIGUO AUTO"
1981,"FAIRMONT ELITE AUT A/AC","FORD"
1981,"FAIRMONT SD AUT","FORD"
1981,"FAIRMONT SD STD","FORD"
1981,"FAIRMONT VAG AUT EQ","FORD"
